AL0000	other	None
AL0665	error	ERR_ReturnTypeIsNotSupportedForVersion
AL0666	error	ERR_FeatureNotAvailable
AL0667	warning	WRN_ERR_DeprecatedFeature
AL0668	error	ERR_FeatureNotSupportedOnCrossPlatformBuilds
AL0670	error	ERR_ObjectChangeNotFoundInCompilation
AL0671	error	ERR_DeletedObjectChangeFoundInCompilation
AL0672	error	ERR_DataItemTableFilterOnNonNormalField
AL0673	error	ERR_RequiredProperty
AL0674	error	ERR_ConditionalRequiredProperty
AL0675	error	ERR_InterfaceIsAlreadyImplemented
AL0676	error	ERR_ProtectedMemberNotAllowedForObject
AL0677	warning	WRN_ERR_ProtectedMemberNotAllowedForObject
AL0678	info	INF_DuplicateMemberMetadataNames
AL0679	warning	WRN_MissingObjectEntitlement
AL0680	error	ERR_CannotAddNewTopLevelDataItem
AL0681	error	ERR_DataItemNotFound
AL0682	error	ERR_DataItemOrColumnNotFound
AL0683	error	ERR_ObjectEntitlementFromOtherModule
AL0684	warning	WRN_ObjectEntitlementContainsFromOtherModule
AL0685	warning	WRN_ERR_CalcFormulaTargetCannotBeLargerThanSourceField
AL0686	error	ERR_MethodAlreadyDeclaredInBase
AL0687	error	ERR_IncludedFieldsContainsPrimaryKeyField
AL0688	error	ERR_IncludedFieldsContainsKeyField
AL0689	error	ERR_IncludedFieldsContainsSqlIndexField
AL0690	error	ERR_PrimaryKeyContainsIncludedFields
AL0691	error	ERR_PrimaryKeyMustNotBeObsolete
AL0692	warning	WRN_ERR_PrimaryKeyMustNotBeObsolete
AL0693	error	ERR_PrimaryKeyFieldMustNotBeObsolete
AL0694	warning	WRN_ERR_PrimaryKeyFieldMustNotBeObsolete
AL0695	warning	WRN_ERR_MethodCannotBeUsedInThisContext
AL0696	error	ERR_ArgumentShouldBeFieldType
AL0697	warning	WRN_ERR_ArgumentShouldBeFieldType
AL0698	error	ERR_InvalidCaseOfType
AL0699	error	ERR_OnlySymbolsFromBaseAreAllowed
AL0700	warning	WRN_ERR_DependencyOnSpecialAppExplicitlyNotAsProperty
AL0701	error	ERR_DependencyOnSpecialAppExplicitlyNotAsProperty
AL0702	warning	WRN_ERR_DependencyOnSpecialAppExplicitlyAndAsProperty
AL0703	error	ERR_DependencyOnSpecialAppExplicitlyAndAsProperty
AL0704	error	ERR_EmptyDefaultExcelLayout
AL0705	error	ERR_DuplicateLayoutName
AL0706	error	ERR_LegacyLayoutProperty
AL0707	error	ERR_LayoutFilenameInvalidExtension
AL0708	error	ERR_InvalidMimeType
AL0709	error	ERR_FileDoesNotExist
AL0710	error	ERR_InvalidDefaultLayout
AL0711	warning	WRN_ERR_DuplicateMemberNameWithCueAction
AL0712	error	ERR_DuplicateMemberNameWithCueAction
AL0713	error	ERR_ControlAddInEventsShouldBeImplementedAsTriggers
AL0714	error	ERR_ReuseOfAreaName
AL0715	warning	WRN_ERR_ReservedName
AL0716	error	ERR_ReservedName
AL0717	warning	WRN_MissingCalcFormulaOnFlowField
AL0718	error	ERR_InvalidReportLayoutName
AL0719	info	INF_ArgumentShouldBeFieldType
AL0720	error	ERR_AppObjectNotFound
AL0721	error	ERR_DefaultRenderingLayoutMustBeSpecified
AL0722	error	ERR_PropertyNotAllowedForActionsV2
AL0723	error	ERR_ActionTypeNotAllowedForActionRef
AL0724	error	ERR_AreaNotValidOnPageOfType
AL0725	error	ERR_ActionTypeIsNotSupportedInArea
AL0726	error	ERR_ExpectedIdentifierOrLiteralOrOptionAccess
AL0727	warning	WRN_ERR_MissingAssociatedProperty
AL0728	warning	WRN_ERR_MissingAssociatedPropertySingleValue
AL0729	warning	WRN_ERR_MissingAssociatedPropertyMultipleValues
AL0730	error	ERR_InvalidSumIndexField
AL0731	warning	WRN_ERR_NameNotInContext
AL0732	error	ERR_AccessModifierNotAllowedInContext
AL0733	warning	WRN_ERR_AccessModifierNotAllowedInContext
AL0734	error	ERR_PropertyValueInvalidGuid
AL0735	error	ERR_CustomActionCannotBeUsedWithPromotedActionProperties
AL0736	error	ERR_InvalidFlowEnvironmentIdPropertyValue
AL0737	error	ERR_ActionRefOrPromotedGroupCannotBeReferenedWhenUsingPromotedActionSyntax
AL0738	error	ERR_EmptyMemberName
AL0739	warning	WRN_EmptyMemberName
AL0740	error	ERR_PermissionSetIncludedExcludeSamePermissionSet
AL0741	error	ERR_PermissionSetSelfReferenceExclude
AL0742	error	ERR_InvalidPropertyForActionInControlOfType
AL0743	warning	WRN_ERR_InvalidPropertyForActionInControlOfType
AL0744	error	ERR_InvalidPropertyForRequestPage
AL0745	warning	WRN_ERR_InvalidPropertyForRequestPage
AL0746	error	ERR_AutoIncrementFieldCanOnlyAppearOnce
AL0747	error	ERR_RequiresNonConstTextualType
AL0748	warning	WRN_PublicMethodReturnValueExposingInternalTypes
AL0749	warning	WRN_PublicMethodParameterExposingInternalTypes
AL0750	error	ERR_CantNestEnumValues
AL0751	warning	WRN_ERR_CantNestEnumValues
AL0752	error	ERR_EmptyDataitemName
AL0753	warning	WRN_ERR_EmptyDataitemName
AL0754	error	ERR_BuiltInMemberAlreadyExists
AL0755	warning	WRN_ERR_BuiltInMemberAlreadyExists
AL0756	warning	WRN_DivisionByAbsWillChangeItsBehaviour
AL0757	error	ERR_DuplicateMemberMetadataNames
AL0758	warning	WRN_ERR_DuplicateMemberMetadataNames
AL0759	error	ERR_InvalidFormatRegion
AL0760	error	ERR_UnsupportedFormatRegion
AL0761	error	ERR_ExternalBusinessEventCategoryInvalideEnum
AL0762	error	ERR_ArgumentTooLong
AL0763	error	ERR_InvalidAlphanumericArgument
AL0764	error	ERR_EmptyArgument
AL0765	error	ERR_ExternalBusinessEventMethodArgumentType
AL0766	error	ERR_ExternalBusinessEventDuplicateName
AL0767	error	ERR_ExternalRulesetPathNotAllowed
AL0768	warning	WRN_ERR_ConditionalRequiredProperty
AL0769	warning	WRN_ERR_RequiredProperty
AL0772	error	ERR_ConditionalAttribute
AL0773	warning	WRN_ExceedsNumberOfFiles
AL0774	error	ERR_TryFunctionDiscardsExitValues
AL0775	warning	WRN_ERR_TryFunctionDiscardsExitValues
AL0776	error	ERR_IdentifierIsNotAPermissionValue
AL0777	error	ERR_OverflowInGuidConversion
AL0778	warning	WRN_ERR_OverflowInGuidConversion
AL0779	error	ERR_CannotModifyAllFlowfield
AL0780	warning	WRN_ERR_CannotModifyAllFlowfield
AL0781	error	ERR_CannotFindDataItemToLink
AL0782	warning	WRN_ERR_CannotAccessForeignControlAddInFromPageExtension
AL0783	error	ERR_CannotAccessForeignControlAddInFromPageExtension
AL0784	error	ERR_ExternalBusinessEventVersionMalformed
AL0785	error	ERR_ControlKindNotSupportedInPageCustomization
AL0786	error	ERR_PropertyKindNotSupportedInPageCustomization
AL0787	error	ERR_SourceExpressionKindNotSupportedInPageCustomization
AL0788	warning	WRN_ERR_AreaOnlyValidOnPageOfType
AL0789	warning	WRN_UsingWithoutNamespace
AL0790	warning	WRN_DuplicateUsing
AL0791	error	ERR_NamespaceNotFound
AL0792	other	HDN_UnusedUsing
AL0793	error	ERR_PropertyNotAllowedForMutliSelectAction
AL0794	error	ERR_InvalidPropertyValueForActionInControlOfType
AL0795	error	ERR_SecretTextParametersNotAllowedOnEvents
AL0796	warning	WRN_SecretTextUnwrapShouldBeUsedInsideNonDebuggableMethod
AL0797	error	ERR_ObsoleteStateMoved
AL0798	error	ERR_SymbolsCanBeMovedOnlyByFirstPartyApps
AL0799	error	ERR_SourceTableFieldCannotBeUsedInCustomization
AL0800	error	ERR_CertainEDTNotAllowedOnTableField
AL0801	warning	WRN_ObsoleteStatePendingMove
AL0802	error	ERR_SecretTextParametersNotAllowedOnControlAddInProcedures
AL0803	warning	WRN_ERR_DuplicateMethodMetadataNames
AL0804	warning	WRN_ERR_CannotReferenceElementDefinedInPageCustomization
AL0805	warning	WRN_ERR_ObjectIdWithQuotesNotSupported
AL0806	error	ERR_ObjectIdWithQuotesNotSupported
AL0807	warning	WRN_ObjectNameShouldNotBeInteger
AL0808	error	ERR_CannotSetPropertyValueInPageCustomization
AL0809	error	ERR_SecretTextCannotBeProtectedVar
AL0810	error	ERR_InvalidSystemActionName
AL0811	error	ERR_InvalidSystemActionTrigger
AL0812	error	ERR_PromptOptionsAreaCanOnlyContainOptionFields
AL0813	error	ERR_DependentPropertyValueNotSupported
AL0814	warning	WRN_ERR_QueryElementSourceMustNotBeFlowFilter
AL0815	error	ERR_QueryElementSourceMustNotBeFlowFilter
AL0816	warning	WRN_ERR_PropertyValuesAreMutuallyExclusive
AL0817	error	ERR_ControlNotValidOnAreaForPageOfType
AL0818	warning	WRN_ERR_EventAlreadyExists
AL0819	error	ERR_EventAlreadyExists
AL0820	warning	WRN_MissingApplicationObject
AL0821	warning	WRN_InvalidAddActionMethod
AL0822	warning	WRN_AmbigSymbolReference
AL0823	warning	WRN_MovedFieldCannotBeUsedInKey
AL0824	error	ERR_MovedFieldCannotBeUsedInKey
AL0825	error	ERR_FieldCannotBeMovedToBaseTable
AL0826	warning	WRN_ERR_InvalidTypeArgument
AL0827	error	ERR_FieldClassNotAllowed
AL0828	error	ERR_PrimaryKeyFieldCannotBeMoved
AL0829	error	ERR_SymbolsCannotBeMovedToSameApp
AL0830	warning	WRN_ERR_TryFunctionCannotBeUsedAsImplementation
AL0831	error	ERR_TryFunctionCannotBeUsedAsImplementation
AL0832	error	ERR_ActionAreaNotValidOnControlOfType
AL0833	error	ERR_ActionNotAllowedInContext
AL0834	error	ERR_MovedToPropertyIsRequiredForMovedSymbols
AL0835	warning	WRN_DuplicateLayoutFile
AL0836	warning	WRN_BaseTableFieldFromSameAppExtensionReference
AL0837	warning	WRN_ERR_TranslationIdDuplication
AL0838	error	ERR_FailedToGenerateTextDataXliffFile
AL0839	error	ERR_DuplicateTransUnitIdInTextDataXliffFile
AL0840	error	ERR_InvalidFileExtension
AL0841	error	ERR_DuplicateFileExtension
AL0842	warning	WRN_PublicFieldExposingInternalTypes
AL0843	error	ERR_PropertyUnsupportedAssociatedTypeSingleValue
AL0844	error	ERR_PropertyUnsupportedAssociatedTypeMultipleValues
AL0845	warning	WRN_ERR_DuplicateEntityNameOrEntitySetName
AL0846	error	ERR_DuplicateEntityNameOrEntitySetName
AL0847	error	ERR_ThisHaveNoSuchMember
AL0848	warning	WRN_IdentifierIsKeywordFromVersion
AL0849	error	ERR_CannotReferencePageCustomizationWithClearPropertiesFromProfileExtension
AL0850	error	ERR_FeatureOnlyAllowedForMicrosoft
AL0851	error	ERR_TypeCanNotBeCast
AL0852	error	ERR_InterfaceCircularReference
AL0853	error	ERR_PagePartCircularReference
AL0854	error	ERR_UnexpectedNamespace
AL0855	error	ERR_VariableNameCannotBeEmpty
AL0856	error	ERR_StatementCannotStartWithParen
AL0857	error	ERR_ResourceFileTooLarge
AL0858	error	ERR_ResourceFilesTooLarge
AL0859	error	ERR_ResourceFileHasInvalidExtension
AL0860	error	ERR_ResourcePathTooLong
AL0861	error	ERR_TooManyResources
AL0862	error	ERR_DuplicateResourceNames
AL0863	error	ERR_ResourceFolderDoesNotExist
AL0864	warning	WRN_ERR_ChartPartNotSupported
AL0865	error	ERR_ChartPartNotSupported
AL0866	error	ERR_ResourceIsEmpty
AL0867	error	ERR_InterfaceMethodAlreadyDeclaredInExtendedInterface
AL0868	error	ERR_CannotExtendDueToDuplicateMethods
AL0869	warning	WRN_UnexpectedSymbolLocation
AL0870	error	ERR_ExpectedVerbatimLiteral
AL0871	error	ERR_IllegalAtSequence
AL0873	error	ERR_NoContinue
AL0874	error	ERR_UserControlHost_ExpectsSingleUserControlWithinContent
AL0875	error	ERR_UserControlHost_ActionsNotSupported
AL0876	error	ERR_IncompatiblePropertySingleValue
AL0877	error	ERR_IncompatiblePropertyMultipleValues
AL0878	error	ERR_IncompatibleProperty
AL0879	error	ERR_TriggerRestrictedByAssociatedProperty
AL0880	error	ERR_TriggerRestrictedByAssociatedPropertySingleValue
AL0881	error	ERR_TriggerRestrictedByAssociatedPropertyMultipleValues
AL0882	error	ERR_UserControlHost_ExpectsSingleTextFieldWithinNavigation
AL0883	error	ERR_TestHttpResponseMessage_InvalidHttpStatusCode
AL0884	error	ERR_TestHttpResponseMessage_NotAllowedHttpStatusCode
AL0885	warning	WRN_ERR_OnlyFieldsFromBaseAreAllowed
AL0886	error	ERR_OnlyFieldsFromBaseAreAllowed
AL0887	error	ERR_DuplicateSqlFields
AL0888	warning	WRN_SecretPotentiallyExposedToBrowser
AL0889	error	ERR_ReservedKeywordName
AL0890	error	ERR_InvalidSystemPartIdentifier
AL0891	error	ERR_UnsupportedExtendedDataType
AL0892	error	ERR_InvalidExtendedDataTypeFieldReference
AL0893	error	ERR_NativeMethodCannotContainCode
AL0894	error	ERR_NativeMethodCannotContainVariables
AL0895	error	ERR_NativeMethodOnlyInMSRange
AL0896	error	ERR_RecursiveFlowfieldNotAllowed
AL0898	error	ERR_AnalysisViewsOnlySupportedOnPagesOfType
AL0899	error	ERR_AnalysisViewNotFound
AL0900	error	ERR_DefinitionFilenameInvalidExtension
AL0901	error	ERR_DefinitionFileIsMalformed
AL0902	error	ERR_AnalysisViewTargetObjectMismatch
AL0903	error	ERR_DuplicateDefinitionFile
AL0904	error	ERR_MissingRequiredAnalysisViewProperty
AL0906	warning	WRN_ConfigurationDialogPublicPreview
AL0907	error	ERR_ConfigurationDialogUnsupportedStartCard
AL0908	error	ERR_RequiresBigIntegerExtendedDataType
AL0909	warning	WRN_MissingAnalysisViewDependency
AL0910	warning	WRN_ERR_FlowFieldCannotBeUsedInQueryDataItemLink
AL0911	error	ERR_FlowFieldCannotBeUsedInQueryDataItemLink
AL0912	warning	WRN_ERR_EmptySymbolName
AL0913	error	ERR_EmptySymbolName
AL0914	warning	WRN_TableHasTooManyFields
AL0915	warning	WRN_TableExtensionHasTooManyFields
AL0916	warning	WRN_AmbiguousBuiltInMethodCall
AL0917	warning	WRN_ExcelLayoutOrphanedSheet
AL0918	error	ERR_DuplicateInterfaceId
AL0919	error	ERR_ScopeNotAllowedOnInterfaceMember
AL0920	warning	WRN_ERR_InternalMethodCannotImplementInterface
AL0921	error	ERR_InternalMethodCannotImplementInterface
AL0922	error	ERR_OnPremMethodCannotImplementInterface
AL0923	error	ERR_RequiredPendingOnNonDefaultMethod
AL0924	warning	WRN_InterfaceRequiredPendingMemberMissing
AL0925	info	INF_InterfaceOptionalMemberMissing
AL0926	error	ERR_SectionOutOfOrder
AL0927	error	ERR_ExpectedSystemObject
AL0928	error	ERR_SystemObjectNotFound
AL0929	error	ERR_InvalidDefaultHeaderFooterPart
AL0930	error	ERR_InvalidDefaultThemePart
AL0931	error	ERR_InvalidObjectReference
AL0999	error	ERR_InternalError
AL1000	warning	WRN_NoConfigNotOnCommandLine
AL1001	error	ERR_FileNotFound
AL1002	error	ERR_OpenResponseFile
AL1003	warning	WRN_AnalyzerCannotBeCreated
AL1004	warning	WRN_NoAnalyzerInAssembly
AL1005	warning	WRN_UnableToLoadAnalyzer
AL1006	error	ERR_NoMetadataFile
AL1007	error	ERR_NoFileSpec
AL1008	error	ERR_SwitchNeedsString
AL1009	error	ERR_BadSwitch
AL1010	error	ERR_SwitchNeedsNumber
AL1011	warning	WRN_FileAlreadyIncluded
AL1012	error	ERR_OutputWriteFailed
AL1013	error	ERR_BinaryFile
AL1014	error	ERR_NoSourceFile
AL1015	error	ERR_CompileCanceled
AL1017	error	ERR_InvalidManifest
AL1018	error	ERR_DirectoryNotFound
AL1019	error	ERR_IncompleteDependency
AL1021	error	ERR_UnspecifiedPackageCachePath
AL1022	error	ERR_PackageFileNotFound
AL1023	error	ERR_InvalidPackageFile
AL1024	error	ERR_PackageNotLoaded
AL1025	warning	WRN_FileDoesNotMatchAnyFormat
AL1026	warning	WRN_XmlValidationErrorOccurred
AL1028	error	ERR_IOExceptionCaught
AL1029	warning	WRN_TranslationFileTargetLanguageInvalid
AL1030	warning	WRN_TranslationFileTargetLanguageMissing
AL1031	info	INF_SuccessfullyIncludedTranslationsForLanguages
AL1032	error	ERR_DuplicateLanguageTranslation
AL1033	error	ERR_InvalidRuleSetInclude
AL1034	error	ERR_HelpUrlWithMissingLocalePlaceHolders
AL1035	error	ERR_MissingPropertyForTranslationApp
AL1036	error	ERR_InvalidTranslationLocaleCulture
AL1037	error	ERR_DuplicateLocale
AL1038	error	ERR_InvalidManifestVersion
AL1039	error	ERR_InvalidManifestVersion_Short
AL1040	error	ERR_InvalidManifestGuid
AL1041	error	ERR_MissingRequiredManifestProperty
AL1042	error	ERR_ManifestDependencyIdNotMatching
AL1043	error	ERR_UnsupportedManifestRuntimeVersion
AL1044	error	ERR_WrongManifestPropertyType
AL1045	error	ERR_PackageCacheNotFound
AL1046	error	ERR_ApplicationIdRangesAreOverlapping
AL1047	error	ERR_InvalidApplicationIdRanges
AL1048	error	ERR_DuplicateIdRange
AL1049	error	ERR_OutputFileNotSpecified
AL1050	error	ERR_AppFileDoesNotExist
AL1051	error	ERR_ManifestMismatch
AL1052	error	ERR_HelpUrlWithTooManyPlaceHolders
AL1053	error	ERR_InvalidManifestPropertyValue
AL1054	error	ERR_InvalidReferenceModule
AL1055	warning	WRN_InvalidReferenceModule
AL1056	warning	WRN_PackageNotLoaded
AL1057	error	ERR_InvalidModuleSpecification
AL1058	warning	WRN_AppIdAndIdBothSpecified
AL1059	warning	WRN_RequiredFeature
AL1060	error	ERR_InvalidMaxDegreeOfParallelism
AL1061	error	ERR_NavAppFilesValidationError
AL1062	error	ERR_KeyVaultUrls_TooManySpecified
AL1063	error	ERR_KeyVaultUrls_TooLongUrl
AL1064	error	ERR_KeyVaultUrls_InvalidAzureKeyVaultUri
AL1065	error	ERR_KeyVaultUrls_PathOrQueryStringAllowed
AL1066	error	ERR_DuplicatePackageDependency_AppIdPublisherName
AL1067	error	ERR_DuplicatePackageDependency_PublisherName
AL1068	error	ERR_DuplicatePackageDependency_AppIdPublisher
AL1069	error	ERR_DuplicatePackageDependency_AppIdName
AL1070	error	ERR_DuplicatePackageDependency_AppId
AL1071	error	ERR_DocFileGen
AL1072	warning	WRN_DefineIdentifierRequired
AL1073	error	ERR_ClashesWithDeclaredTrigger
AL1074	error	ERR_DuplicateAppInsightsResource
AL1075	error	ERR_BothShowMyCodeAndResourceExposurePolicyExist
AL1076	info	INF_RenamedDependency
AL1077	error	ERR_FailedToLoadWorkspace
AL1078	warning	WRN_ERR_KeyVaultUrls_InvalidAzureKeyVaultUri
AL1079	info	INF_AllowDebuggingFalseApplicableToDev
AL1080	info	INF_IncludeSourceInSymbolFalseApplicableToDev
AL1081	error	ERR_ReportLayoutUpdateFailure
AL1082	error	ERR_InvalidManifestPropertyTarget
AL1083	error	ERR_DuplicateLanguageLCLTranslation
AL1084	error	ERR_DuplicateLanguageXliffTranslation
AL1085	warning	WRN_PackageFileLocked
AL1100	other	FTL_InputFileNameTooLong
AL1101	other	FTL_InvalidTarget
AL1130	error	ERR_InvalidTimeoutDuration
AL1150	error	ERR_InvalidLink
AL1151	error	ERR_SelfReferenceDependency_NamePublisher
AL1152	error	ERR_SelfReferenceDependency_AppId
AL1153	error	ERR_InvalidReferenceModuleVersion
AL1154	error	ERR_ConflictingCommandLineArguments
AL1155	error	ERR_NoFolderSpec
AL1156	warning	WRN_CommentsInManifestNotRecommended
AL1401	warning	WRN_PERS_MissingTypeReference
AL1402	warning	WRN_PERS_MissingApplicationObject
AL1403	warning	WRN_PERS_AmbigSymbolReference
AL1404	warning	WRN_PERS_ActionNotFound
AL1405	warning	WRN_PERS_ControlNotFound
AL1406	warning	WRN_PERS_ViewNotFound
AL1407	warning	WRN_PERS_MissingTargetsForMove
AL1408	warning	WRN_PERS_InvalidApplicationObjectIdentifier
AL1409	warning	WRN_PERS_InvalidRoleCenterPage
AL1410	warning	WRN_PERS_ExtensionTargetNotFound
AL1411	warning	WRN_PERS_MultiplePageCustomizationsSpecifiedPerProfilePerTargetPage
AL1412	warning	WRN_PERS_ObsoleteStatePending
AL1413	warning	WRN_PERS_DuplicateMemberName
AL1414	info	INF_PERS_CustomizationWithoutChanges
AL1415	warning	WRN_PERS_ObsoleteStateObsolete
AL1416	info	INF_PERS_MoveSymbolChangeIgnored
AL1417	info	INF_PERS_AddSymbolChangeLocationIgnored
AL1418	warning	WRN_PERS_DataItemNotFound
AL1419	warning	WRN_PERS_DataItemOrColumnNotFound
AL1420	warning	WRN_PERS_ActionTypeNotAllowedForActionRef
AL1421	warning	WRN_PERS_PromotedActionUsage
AL1422	warning	WRN_PERS_ActionTargetNotFound
AL1423	warning	WRN_PERS_NoSuchMember
AL1424	warning	WRN_PERS_NameNotInContext
AL1425	warning	WRN_PERS_SourceTableFieldCannotBeUsedInCustomization
AL1426	warning	WRN_PERS_NamespaceNotFound
AL1427	warning	WRN_PERS_CannotSetPropertyValueInPageCustomization
AL1428	warning	WRN_PERS_AnalysisViewNotFound
AL1429	warning	WRN_PERS_CannotMoveSymbolsBetweenAreas
AL1430	warning	WRN_SortingFieldFromAnotherExtensionNotInKey
AL-0002	other	Void
AL-0001	other	Unknown
